experiment,camera_pos_x,camera_pos_y,camera_pos_z,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
19,-200.0,50.0,20.0,-1.4584193089505562e-05,-1.4915280128772486e-05,0.003219520283596144,0.23348001115310238,0.06502314834480402,0.15982686768058357,0.31757073818854054
20,-200.0,50.0,0.0,-1.0648947047954268e-05,-1.4605158113881007e-05,0.0032061795923250765,0.23209306940760227,0.0649342971447372,0.15914669445003848,0.3161995601400338
23,-200.0,65.0,360.0,-0.0001330146254731566,-7.657744436596245e-05,0.004756826537765768,0.3406102722030615,0.07465967310276518,0.2739174411898132,0.47158760700872304
24,-200.0,65.0,340.0,-0.00010006732033717488,-6.171719977002022e-05,0.004233046908933921,0.31345816428438006,0.06730899536037024,0.23566484485386407,0.42029024985734786
26,-200.0,65.0,300.0,-6.37440082861075e-05,-4.696638994127713e-05,0.00444819517629353,0.3348227675471859,0.08333859946845948,0.22700096523776025,0.44004751184693325
27,-200.0,65.0,280.0,-5.2903990403187554e-05,-4.262470688304635e-05,0.004095346909652243,0.3091102300294815,0.07672047314824175,0.20649936942661493,0.40533301980403286
28,-200.0,65.0,260.0,-4.410125571674694e-05,-3.8528598732747125e-05,0.003972765784251472,0.2988428140844503,0.07579247256153347,0.19812835512633414,0.3929083584370879
29,-200.0,65.0,240.0,-3.875506412351383e-05,-3.2979284731335634e-05,0.0036650857500898208,0.27706079130509104,0.06908408779438108,0.1811791008208449,0.3628620431447127
30,-200.0,65.0,220.0,-3.358335249958084e-05,-2.9198610199280113e-05,0.0036084389812936343,0.27145341599020983,0.06907491055421291,0.17729238878965176,0.356998799482504
31,-200.0,65.0,200.0,-3.1768130853423696e-05,-2.5966548807428357e-05,0.0036375936190615704,0.27121474359929126,0.07123443438088195,0.17849927270857838,0.35935164075575965
32,-200.0,65.0,180.0,-2.754997312686428e-05,-2.2401650582661373e-05,0.0035599673772974414,0.2647438911391749,0.07009089034886024,0.17414459697096143,0.35160421891968374
33,-200.0,65.0,160.0,-2.443249408623829e-05,-2.2434380656181054e-05,0.00348911092746699,0.25871618235790006,0.06901550226753421,0.17037558744013934,0.3445292287400518
34,-200.0,65.0,140.0,-2.203612114181587e-05,-2.0622641222468796e-05,0.0034316373981470054,0.25376446309269557,0.06816290437737517,0.16748173411449688,0.33878830103422175
35,-200.0,65.0,120.0,-2.006361358500206e-05,-1.888095010872837e-05,0.003381997503747765,0.24941303609996035,0.06743031540316638,0.16505472249116446,0.33382887456113736
36,-200.0,65.0,100.0,-1.797776449804407e-05,-1.9204656825479105e-05,0.0033451983363401005,0.24599978464189443,0.06695034228550424,0.1633088046103189,0.3301303456425788
