experiment,camera_pos_x,camera_pos_y,camera_pos_z,error_px_x,error_px_y,error_px_xy,error_deg_x,error_deg_y,error_deg_z,error_deg_xyz
16,-200.0,50.0,80.0,2.7654453202405566e-05,1.7825502895377054e-05,0.005630226324578743,0.41475000589410893,0.1299343282748638,0.2549941740444467,0.5490820105731301
17,-200.0,50.0,60.0,2.72577651384629e-05,1.7382318652787605e-05,0.005580612671980126,0.410216217858658,0.12883626806893506,0.2533700076677837,0.5442426877305546
18,-200.0,50.0,40.0,2.6855429961672002e-05,1.69414466208899e-05,0.005536505209105714,0.4061678432755447,0.12785706567761998,0.25194170762801466,0.5399411436410188
19,-200.0,50.0,20.0,2.6452221459744755e-05,1.650645730869057e-05,0.0054970949072724404,0.4025359744559612,0.12697966402233618,0.25073078897033374,0.5360982745617546
20,-200.0,50.0,0.0,2.6051717627951985e-05,1.6079906416221153e-05,0.0054617180163959115,0.3992636787241864,0.1261900048097804,0.24966336600839417,0.53264919389099
25,-200.0,65.0,320.0,2.8073210988671887e-05,1.8511254864827623e-05,0.0075313548130667585,0.5863143505033311,0.17066677355857482,0.3253104584265113,0.7346987559907973
26,-200.0,65.0,300.0,2.8388805739800784e-05,1.8657415955798682e-05,0.007136575054014486,0.5523864295720031,0.16239074762027622,0.30735172541611183,0.6961257874859611
27,-200.0,65.0,280.0,2.887909619830749e-05,1.885150318142447e-05,0.006831397841691017,0.5257655758706595,0.15594848765488925,0.2943141278705131,0.6663111182633784
28,-200.0,65.0,260.0,2.928310723303645e-05,1.8945677222300152e-05,0.006589581210474464,0.5044017684062622,0.1508102644625547,0.28462050721709237,0.6426902914450711
29,-200.0,65.0,240.0,2.9530091146099508e-05,1.891191488250474e-05,0.006394146824609059,0.4869399443506377,0.14663121700600798,0.277041287293693,0.6236039089413212
30,-200.0,65.0,220.0,2.961903236348532e-05,1.8762453638108266e-05,0.0062335845771888925,0.47245030652112363,0.14317719738518414,0.2710937497691365,0.6079266081017947
31,-200.0,65.0,200.0,2.9572057334418494e-05,1.8520400882830284e-05,0.006099825768627525,0.46027037620876415,0.1402836165239554,0.266381638861431,0.5948693256635141
32,-200.0,65.0,180.0,2.9416324004313035e-05,1.8209092917465552e-05,0.005987055451269196,0.44991941989249623,0.1378314061292346,0.26264476013456034,0.5838633464598296
33,-200.0,65.0,160.0,2.917728497292574e-05,1.7848653904474485e-05,0.005890983877043289,0.44103844320407554,0.13573233262210846,0.25961546413551273,0.5744891225672734
34,-200.0,65.0,140.0,2.8876580984482704e-05,1.7455301484457135e-05,0.005808382685455058,0.4333541951911257,0.1339196680687483,0.2570647168960164,0.5664309326363058
35,-200.0,65.0,120.0,2.8531763883546876e-05,1.7041646300500095e-05,0.005736780027013378,0.4266573616995973,0.13234206131355108,0.25495897821358526,0.5594470658767103
36,-200.0,65.0,100.0,2.8156703639125725e-05,1.6617273139292566e-05,0.005674254543421361,0.4207821942812505,0.13095939314530486,0.2531861158063952,0.553349668096246
37,-200.0,65.0,80.0,2.776217657846518e-05,1.6189346917856032e-05,0.0056192927605594085,0.41559369426322146,0.1297399019225261,0.2516499024440572,0.5479907885121701
38,-200.0,65.0,60.0,2.735645985066918e-05,1.5763141522946883e-05,0.005570688275955308,0.41098600192673646,0.1286581461426677,0.2503319179667475,0.543252514864529
39,-200.0,65.0,40.0,2.6945846838259757e-05,1.5342480326210853e-05,0.005527469159610934,0.406873174093493,0.12769353242552284,0.24921192507596965,0.5390398690420518
40,-200.0,65.0,20.0,2.6535081436210344e-05,1.4930080213160928e-05,0.005488844805144972,0.40318480283140057,0.1268292338840979,0.24822779733436107,0.5352756061405248
41,-200.0,65.0,0.0,2.612769412823472e-05,1.4527814607568481e-05,0.005454166438587504,0.39986273052988275,0.12605138324027618,0.24736334952847513,0.5318963502265279
46,-200.0,80.0,320.0,2.7950121268038195e-05,1.71983625753689e-05,0.007480330474100885,0.5899638079585028,0.16993952689465275,0.3082196113666801,0.7295781473111086
47,-200.0,80.0,300.0,2.840844211609731e-05,1.7249123180408914e-05,0.0070955171429735765,0.5554862668852658,0.161795701209028,0.29349190936768305,0.6920037792524212
48,-200.0,80.0,280.0,2.896943960614426e-05,1.7332690821512275e-05,0.00679747493790103,0.528409878394235,0.15544682426312573,0.2827923682984779,0.6629054911063844
49,-200.0,80.0,260.0,2.9407978260606878e-05,1.733155286111919e-05,0.006561003574620095,0.5066702548048013,0.15037830461376697,0.2748505669449955,0.6398221323797314
50,-200.0,80.0,240.0,2.9669990719947747e-05,1.7225139301483955e-05,0.006369709936424175,0.4889004424837302,0.14625367055895594,0.2686601526425459,0.6211524367899147
51,-200.0,80.0,220.0,2.9763022917966766e-05,1.7025159158691333e-05,0.006212441083695372,0.47415395952440476,0.142843628446341,0.26392164280203845,0.6058066453630637
52,-200.0,80.0,200.0,2.9713931539305154e-05,1.6751679132070468e-05,0.006081357706424516,0.4617615226088308,0.13998653356279403,0.2602219038881261,0.5930186427431963
53,-200.0,80.0,180.0,2.9552615895140028e-05,1.6424534654461313e-05,0.005970798226026677,0.4512336565480848,0.13756519214184693,0.25728611405114216,0.5822351040414553
54,-200.0,80.0,160.0,2.9306170393203118e-05,1.6060614402648213e-05,0.005876579213896939,0.4422044299395996,0.13549262209452853,0.25484763272895383,0.5730471772769846
55,-200.0,80.0,140.0,2.8997229383244726e-05,1.567338360104712e-05,0.005795548391828103,0.4343994836882727,0.13370296905735818,0.252877095316047,0.5651468100877607
56,-200.0,80.0,120.0,2.8643953656990013e-05,1.5273197081852805e-05,0.005725289877512949,0.42759896957889043,0.1321455166875534,0.2512301929219998,0.5582979410377799
57,-200.0,80.0,100.0,2.8260571249181652e-05,1.4867831144556218e-05,0.005663924471375737,0.4216323498231062,0.13078062348883163,0.24981280672087167,0.5523169753789438
58,-200.0,80.0,80.0,2.7858068572060946e-05,1.4463014214308826e-05,0.005609971105920869,0.41636517819418845,0.12957689796525831,0.24862504803262714,0.5470592381777192
59,-200.0,80.0,60.0,2.7444835651996633e-05,1.4062893280144483e-05,0.0055622487295256505,0.411689403492158,0.12850919252567355,0.2476132611135875,0.542409380245626
60,-200.0,80.0,40.0,2.7027221003744545e-05,1.3670408030585529e-05,0.005519805541632135,0.40751732115820416,0.12755715177259055,0.24672991984549303,0.5382744584849913
61,-200.0,80.0,20.0,2.660997945006936e-05,1.3287581805711466e-05,0.00548186712722291,0.4037770994467453,0.126704144588702,0.245980186606782,0.534578864438581
62,-200.0,80.0,0.0,2.61966359970072e-05,1.2915755198649612e-05,0.005447797885493597,0.4004122554769952,0.125936466873858,0.24532297865128616,0.5312605530122163
67,-200.0,95.0,320.0,2.7763100673370368e-05,1.5532028374481912e-05,0.007436965552988567,0.5933704251032642,0.1693444911407732,0.29221645161666054,0.7252174650025099
