target_x,target_y,pupil_x,pupil_y
-0.14,0.35,-6.98694164663818,0.260524327702608
-0.12,0.05,-5.22648017698687,-25.4834918488216
-0.12,0.065,-5.29537083067146,-24.3319385004872
-0.12,0.08,-5.35841708191078,-23.1533018687033
-0.12,0.095,-5.4152870585069,-21.9490434604264
-0.12,0.11,-5.46567332032415,-20.7208247179194
-0.12,0.125,-5.50929739063227,-19.4704998297015
-0.12,0.14,-5.54591403552926,-18.200104902936
-0.12,0.155,-5.57531516766084,-16.9118435354658
-0.12,0.17,-5.59733325678224,-15.6080689519342
-0.12,0.185,-5.61184413835596,-14.291262994749
-0.12,0.2,-5.61876913000337,-12.9640123805485
-0.12,0.215,-5.61807638379532,-11.6289827411559
-0.12,0.23,-5.60978142905508,-10.2888910555253
-0.12,0.245,-5.59394688823077,-8.94647714176212
-0.12,0.26,-5.57068137380108,-7.60447491231025
-0.12,0.275,-5.5401376057406,-6.26558409610843
-0.12,0.29,-5.50250981237075,-4.93244310558002
-0.12,0.305,-5.4580304997147,-3.60760366648211
-0.12,0.32,-5.40696669423068,-2.29350774745255
-0.12,0.335,-5.34961577268556,-0.992467228336593
-0.12,0.35,-5.28630100196712,0.293353370897428
-0.1,0.05,-3.49973961841503,-25.5706439322941
-0.1,0.065,-3.55872173417737,-24.4154654847416
-0.1,0.08,-3.61273390330766,-23.23277935832
-0.1,0.095,-3.66149048786314,-22.0240592507649
-0.1,0.11,-3.704726756658,-20.7909842792184
-0.1,0.125,-3.74220282747352,-19.5354317878871
-0.1,0.14,-3.77370739228616,-18.2594663724949
-0.1,0.155,-3.79906111865771,-16.9653251562969
-0.1,0.17,-3.81811962225643,-15.6553994832943
-0.1,0.185,-3.83077591561138,-14.3322133272872
-0.1,0.2,-3.83696225248162,-12.9983988442888
-0.1,0.215,-3.83665130496325,-11.6566696081782
-0.1,0.23,-3.82985663391055,-10.3097921633621
-0.1,0.245,-3.8166324351606,-8.96055659448725
-0.1,0.26,-3.79707257134312,-7.61174684901722
-0.1,0.275,-3.77130892297658,-6.26611154956448
-0.1,0.29,-3.73950911491506,-4.92633600520999
-0.1,0.305,-3.70187369374889,-3.59501606615091
-0.1,0.32,-3.65863284794184,-2.27463438457676
-0.1,0.335,-3.6100427724065,-0.967539533103232
-0.1,0.35,-3.5563817849228,0.324071683206233
-0.08,0.05,-1.74895583422533,-25.632405128098
-0.08,0.065,-1.7975193471842,-24.4745452202148
-0.08,0.08,-1.84202549963057,-23.2888354960687
-0.08,0.095,-1.88223915206105,-22.076759038242
-0.08,0.11,-1.91794231493978,-20.840008881779
-0.08,0.125,-1.94893741913147,-19.5804808280803
-0.08,0.14,-1.97505040831103,-18.3002623546609
-0.08,0.155,-1.99613356347676,-17.0016176511171
-0.08,0.17,-2.01206797143556,-15.6869689480739
-0.08,0.185,-2.02276555882045,-14.3588744451512
-0.08,0.2,-2.02817062220346,-13.020003277874
-0.08,0.215,-2.02826080327457,-11.6731080822628
-0.08,0.23,-2.02304747473075,-10.320995813753
-0.08,0.245,-2.01257552360019,-8.96649754660283
-0.08,0.26,-1.99692253942092,-7.61243801759519
-0.08,0.275,-1.9761974361882,-6.26160567903039
-0.08,0.29,-1.95053855572662,-4.91672399602628
-0.08,0.305,-1.92011131466953,-3.58042465829858
-0.08,0.32,-1.88510547501993,-2.25522328358703
-0.08,0.335,-1.84573212060072,-0.943498084984173
-0.08,0.35,-1.80222043161559,0.352528158872383
-0.06,0.05,0.0204376523071913,-25.6677651070169
-0.06,0.065,-0.0172925593158383,-24.5081905761337
-0.06,0.08,-0.0519086850055154,-23.3205122988126
-0.06,0.095,-0.0832296355402857,-22.1062199110582
-0.06,0.11,-0.111087526855422,-20.8670164809734
-0.06,0.125,-0.135330208955727,-19.6048113351391
-0.06,0.14,-0.155823657716293,-18.3217088866035
-0.06,0.155,-0.172454159436327,-17.019993490381
-0.06,0.17,-0.185130218955164,-15.7021104941106
-0.06,0.185,-0.19378413105874,-14.3706437959278
-0.06,0.2,-0.198373161231935,-13.0282903587353
-0.06,0.215,-0.198880294730041,-11.6778322548781
-0.06,0.23,-0.19531452933681,-10.3221069153795
-0.06,0.245,-0.187710700159044,-8.96397633109556
-0.06,0.26,-0.176128843290664,-7.6062959911766
-0.06,0.275,-0.160653120678979,-6.25188434696386
-0.06,0.29,-0.141390343569587,-4.90349355614217
-0.06,0.305,-0.118468143954908,-3.56378219607372
-0.06,0.32,-0.0920328558617566,-2.23529054015678
-0.06,0.335,-0.0622471702525744,-0.92041887774914
-0.06,0.35,-0.0292876367340865,0.378590775014081
-0.04,0.05,1.80265534722284,-25.6759647121884
-0.04,0.065,1.77606575388989,-24.5156591730675
-0.04,0.08,1.75162448552353,-23.3270888259447
-0.04,0.095,1.72945587846776,-22.1117470184232
-0.04,0.11,1.7096751486812,-20.8713428749171
-0.04,0.125,1.692386657745,-19.6077941386889
-0.04,0.14,1.67768227480161,-18.3232159497063
-0.04,0.155,1.66563988132888,-17.0199055820563
