frame_no,target_no,time_stamp,target_x,target_y,pupil_x,pupil_y,ellipse_min_axis,ellipse_max_axis,ellipse_angle,glint_1_x,glint_1_y,glint_2_x,glint_2_y,glint_3_x,glint_3_y,glint_4_x,glint_4_y
11,11,738084.617670209,-0.2,0.215,-50.6531876310711,-22.8912533340448,49.287348044503,52.6014155683706,0.424450513940552,-8.13126832634662,-4.07071428301209,-50.292478768238,-3.23921871388502,-50.8366496796735,-35.3925217791096,-7.79901974828666,-35.591442551058
12,12,738084.617670296,-0.2,0.23,-50.6184868177873,-19.092084900602,49.4555182823408,52.5905684093973,0.360677142891448,-8.1182110914608,-2.35176724915815,-50.2859069117695,-1.52225266827509,-50.8257470329352,-33.6790853580186,-7.78818884883423,-33.8758618358402
13,13,738084.617670415,-0.2,0.245,-50.5414207824722,-15.291810194491,49.5980708433954,52.5814538389642,0.293803722714726,-8.08545777369718,-0.631463048991978,-50.2588515088187,0.19603806673959,-50.7943795469553,-31.9636898562417,-7.75769509443763,-32.1583733602656
14,14,738084.617670503,-0.2,0.26,-50.4225222448919,-11.497738361245,49.7148753027775,52.5740399923773,0.22419449962062,-8.0332516643306,1.0867127579728,-50.211551747898,1.912172250426,-50.7427953533004,-30.2498167511461,-7.70777692611709,-30.4424623165051
15,15,738084.617670591,-0.2,0.275,-50.2625598733931,-7.717062794125,49.8059700728597,52.568291809013,0.152345367557656,-7.96194801604366,2.79932789367988,-50.1443634910693,3.62272204210766,-50.6713589827928,-28.5408978407454,-7.63878463220506,-28.7315638428918
16,16,738084.617670678,-0.2,0.29,-50.0625257477227,-3.95679367904752,49.8715584660805,52.5641713618531,0.0788730730595835,-7.87200809193461,4.50303605976805,-50.0577532133454,5.32434565325868,-50.5805452228481,-26.840282470245,-7.55117444882249,-27.0290302262485
17,17,738084.617670765,-0.2,0.305,-49.8236195845434,-0.223695140023716,49.9120020038178,52.5616381746526,0.00448971067983666,-7.76399166906136,6.19460741215986,-49.9522903257125,7.01381777593697,-50.470931366438,-25.1512069279056,-7.44550111460215,-25.3381002806019
18,18,738084.617670852,-0.2,0.32,-49.5472302013203,3.4757717770334,49.9278112388303,52.560649531298,-0.0700359430587542,-7.63854822587056,7.87095620945953,-49.8286381179481,8.68805718606109,-50.3431880902568,-23.4767666178048,-7.32240910786628,-23.6618715099787
19,19,738084.617670939,-0.2,0.335,-49.2349147629663,7.13549927010955,49.9196344311935,52.5611607646326,-0.143925536425582,-7.49640707287866,9.52916514634622,-49.6875435891055,10.344151033664,-50.1980692309939,-21.8198915046294,-7.1826228245717,-22.0032755502774
20,20,738084.617671025,-0.2,0.35,-48.8883763910887,10.7497753585501,49.8882444616337,52.5631255311422,-0.216439727804615,-7.33836670389543,11.1665060096097,-49.5298264526579,11.9793754586419,-50.0364007473817,-20.1833252001227,-7.02693597338701,-20.3650572595108
21,21,738084.617671133,-0.18,0.05,-43.876037234228,-63.1360338971245,52.8112215539461,46.3138030682413,-0.607324922512804,-5.01901852790446,-22.1897634944406,-47.0733621103659,-21.3406095487339,-47.6672308862971,-53.4205347843048,-4.6679453135749,-53.6517264026129
22,22,738084.617671232,-0.18,0.065,-44.2544939487958,-59.7740976940737,52.7803321478155,46.7214932810926,-0.637304452574874,-5.19638049042531,-20.6874104894751,-47.2646419417906,-19.8396874632277,-47.8545459853296,-51.9293047397988,-4.84695422333823,-52.1581142351102
